year,songtitle,artistname,songID,artistID,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,timbre_0_min,timbre_0_max,timbre_1_min,timbre_1_max,timbre_2_min,timbre_2_max,timbre_3_min,timbre_3_max,timbre_4_min,timbre_4_max,timbre_5_min,timbre_5_max,timbre_6_min,timbre_6_max,timbre_7_min,timbre_7_max,timbre_8_min,timbre_8_max,timbre_9_min,timbre_9_max,timbre_10_min,timbre_10_max,timbre_11_min,timbre_11_max,Top10
2004,All Star,Kidz Bop Kids,SOGFWDE12A58A7A040,ARULXDM1293C0280DF,4,1.0,-8.829,103.978,0.95,6,0.022000000000000002,0.723584635,0.003,0.0,54.26,-171.67,455.892,-151.292,129.746,-199.97400000000002,335.481,-75.613,115.06200000000001,-113.175,122.60600000000001,-81.334,86.792,-213.52700000000002,125.781,-72.609,66.98899999999999,-71.063,113.89,-99.719,52.301,-55.867,46.308,0
2006,Loving Hannah,Isobel Campbell,SOIWJEO1315CD4ABB9,AR33J0L1187B9B6499,4,0.636,-23.49,106.91799999999999,0.025,1,0.272,0.06139334,0.002,0.032,43.169,-207.86700000000002,251.96900000000002,-141.046,149.274,-285.013,225.84599999999998,-66.977,162.998,-94.807,173.30599999999998,-130.292,85.618,-133.149,127.398,-69.59100000000001,57.034,-91.589,88.14,-105.45,71.186,-52.998000000000005,58.269,0
1997,Salome,Old 97's,SOYGRCZ12A8C13A562,ARMNFB41187B9AD2DC,4,0.98,-8.335,127.68,0.917,5,0.6409999999999999,0.586924731,0.005,0.157,55.62,-84.73200000000001,168.16099999999997,-124.36200000000001,91.315,-120.164,126.116,-113.066,73.37100000000001,-78.846,68.288,-81.663,67.63600000000001,-57.681999999999995,101.01899999999999,-63.698,48.726000000000006,-53.996,62.878,-51.505,77.508,-47.305,66.381,0
1997,Monkey Boogie,Millencolin,SOCJEMD12A8AE478C0,ARWXRV91187B9AF9B9,4,0.872,-5.737,102.166,1.0,11,1.0,0.908208215,0.01,0.0,56.45399999999999,-30.943,210.81599999999997,-146.121,49.378,-110.314,315.71,-69.204,74.49600000000001,-90.64399999999999,129.47899999999998,-57.698,68.92399999999999,-62.397,84.227,-82.14200000000001,39.835,-59.248000000000005,68.125,-88.13,33.951,-51.085,49.058,0
1993,Bad Company,Various Artists,SOVBNIO1377AD46315,ARAGWS81187FB3F768,4,0.626,-7.007000000000001,126.031,0.843,0,0.8170000000000001,0.824213913,0.008,0.0,55.066,-283.47,171.13,-136.584,83.87,-160.108,185.429,-52.961999999999996,80.107,-102.131,224.86,-53.15,48.871,-67.757,103.531,-67.003,60.195,-54.946000000000005,68.232,-80.097,54.508,-41.004,39.65,0
2000,Street Carp,Deftones,SONWNON1315CD42A20,ARXSABJ1187FB3C336,4,0.489,-4.434,81.899,0.214,2,0.14800000000000002,0.95722722,0.032,3.071,56.792,21.125,174.312,-37.069,205.78,-459.51300000000003,53.894,-79.184,98.462,-79.15100000000001,63.946999999999996,-68.64399999999999,64.726,-54.716,47.276,-52.555,52.646,-24.331,68.719,-34.955999999999996,17.579,-58.506,22.131,0
1998,Trio-Degradable / Affixed by Disconcern,Napalm Death,SOAZAYN12A3F1EC4FA,AR0JZZ01187B9B2C99,5,0.731,-5.652,128.903,0.171,10,0.033,0.995310644,0.027999999999999997,0.135,56.306999999999995,-164.84400000000002,270.715,-165.012,201.493,-338.406,379.897,-94.281,84.416,-81.127,188.095,-73.39399999999999,67.05,-62.161,85.116,-100.12700000000001,41.358000000000004,-65.852,59.735,-111.98299999999999,33.065,-61.805,38.398,0
1995,Rock with You,Michael Jackson,SOFRAQU13771C1F2ED,ARXPPEY1187FB51DF4,4,0.9390000000000001,-7.97,114.35799999999999,0.9540000000000001,10,0.611,0.690003244,0.017,0.0,56.982,-212.737,195.332,-195.549,150.029,-174.774,238.688,-63.1,135.336,-133.418,254.43200000000002,-74.572,106.80799999999999,-74.848,98.727,-66.953,46.042,-63.23,84.76700000000001,-90.678,75.165,-60.013999999999996,47.653999999999996,0
2004,Great Days for the Passenger Element,Autolux,SOONUHH1313438A24A,ARJPCRQ1187FB4D63B,4,0.7929999999999999,-9.519,111.512,0.797,1,0.098,0.46992629,0.003,3.616,55.92,-299.349,165.197,-162.408,64.795,-197.13,163.453,-103.902,71.242,-88.596,167.799,-98.596,59.817,-95.773,110.609,-71.41199999999999,60.498999999999995,-66.075,65.157,-83.226,54.162,-37.302,44.93600000000001,0
2004,Hello Again,Lostprophets,SOERHSP12A6D4FB175,ARIRLGQ1187FB45B7E,4,0.836,-6.6339999999999995,79.047,0.08199999999999999,11,0.55,0.857899805,0.008,22.955,56.98,-150.511,171.127,-56.97,189.55,-84.583,176.74599999999998,-52.751999999999995,77.805,-100.251,81.749,-64.52600000000001,68.396,-67.624,62.708,-55.49,36.33,-37.144,44.823,-53.96,76.869,-60.11,37.668,0
1997,Jolly Roving Tar,Great Big Sea,SOMHLTN1311AFE4736,ARGBZ8J1187B9AA40C,4,0.9079999999999999,-7.91,106.084,0.938,5,0.722,0.756022726,0.009000000000000001,0.0,54.872,-21.711,171.13,-166.05599999999998,130.058,-409.69800000000004,428.663,-12.283,116.818,-115.31,99.565,-73.92399999999999,64.601,-67.245,101.20200000000001,-71.018,40.561,-58.301,61.638999999999996,-82.682,29.375,-38.205,60.806999999999995,0
1991,Long Way To Go,Enuff Z'nuff,SOGFGOL12A6D4FCADE,ARVOWE21187FB3AE3C,4,0.0,-10.059,167.642,0.4,8,0.16,0.980806215,0.039,0.0,52.339,32.135,171.13,-18.000999999999998,116.339,-69.139,81.167,-50.111999999999995,160.214,-76.34899999999999,54.832,-84.35,54.028999999999996,-52.577,53.878,-42.516999999999996,57.04,-30.754,39.248000000000005,-43.181000000000004,39.693000000000005,-45.909,45.545,0
2003,The Love-in,Bettie Serveert,SOLHBDG13152A7587D,AR9TCXZ1187FB4D9E8,4,1.0,-11.199000000000002,122.301,0.867,5,0.382,0.83968774,0.018000000000000002,2.033,53.288999999999994,-71.72,249.46099999999998,-100.309,180.19400000000002,-99.62,208.49099999999999,-81.518,57.74100000000001,-73.52199999999999,146.50799999999998,-52.458999999999996,113.52799999999999,-50.406000000000006,100.479,-115.009,41.848,-63.494,37.45,-68.857,49.336999999999996,-55.894,33.114000000000004,0
2000,If Ya Gettin' Down,Five,SOFDUEI12AC4688040,ARUN7IC1187FB3D392,4,1.0,-7.5360000000000005,110.814,0.972,11,0.01,0.855216816,0.01,0.0,54.818000000000005,-92.64299999999999,206.668,-186.36700000000002,152.268,-130.311,332.74699999999996,-82.042,82.10799999999999,-116.304,179.826,-85.583,78.87100000000001,-96.10799999999999,109.109,-64.555,48.193000000000005,-95.709,77.85600000000001,-77.345,45.269,-52.891000000000005,59.605,0
2003,Excalibur,Killah Priest,SOTGMTV1377A0722FE,AR7BBIT1187FB4EAA2,4,1.0,-6.04,160.997,0.465,7,0.22899999999999998,0.716934758,0.001,0.0,54.864,-243.426,243.614,-218.597,165.67,-226.563,265.481,-99.014,95.26899999999999,-116.78200000000001,153.905,-98.046,111.667,-164.476,108.15,-90.39399999999999,52.595,-85.928,95.587,-105.245,93.506,-68.675,47.201,0
1997,Stuck,Limp Bizkit,SOLDYFA1366751F4E1,AR5H4CJ1187B9AE949,4,0.9570000000000001,-7.157,99.68700000000001,0.672,2,0.037000000000000005,0.8411469779999999,0.001,0.0,55.927,-199.4,186.138,-179.07,241.31599999999997,-166.668,387.274,-109.4,119.337,-111.195,124.904,-80.002,90.867,-92.435,146.036,-76.249,54.368,-65.179,93.67200000000001,-108.088,74.598,-64.595,68.34899999999999,0
1994,I Sit Away,Boyz II Men,SOLVCIG12A67021363,ARR9XGB1187B9912E6,4,1.0,-10.912,94.053,0.982,10,0.21100000000000002,0.564717908,0.002,0.0,51.387,-82.17299999999999,265.374,-218.44,290.096,-179.168,283.363,-65.01899999999999,131.84,-161.91299999999998,112.305,-104.48299999999999,185.354,-63.841,92.71700000000001,-127.765,59.673,-62.70399999999999,51.025,-96.319,49.825,-55.816,62.471000000000004,0
1990,She's Gone,Y&T,SOSIEQB12A6D4FC59D,ARGQANQ11F50C4769E,4,1.0,-10.197000000000001,93.14,0.8590000000000001,5,0.889,0.942991657,0.016,0.0,53.461999999999996,-22.878,202.424,-77.467,174.66299999999998,-170.80200000000002,201.67700000000002,-45.806999999999995,109.383,-75.01100000000001,103.305,-130.215,59.775,-61.196999999999996,38.12,-66.638,50.105,-40.692,43.763000000000005,-59.707,49.413999999999994,-53.97,68.303,0
2004,Get On Bad,Beenie Man,SOIYIZI12A6D4F6E6D,ARVUN5F1187FB4CCC7,4,0.948,-6.261,100.155,0.888,0,0.294,0.811440775,0.005,0.0,54.031000000000006,-133.909,220.423,-188.946,145.295,-291.647,417.18199999999996,-64.907,121.73700000000001,-157.15,156.097,-93.068,112.072,-121.00399999999999,128.17700000000002,-105.694,58.931000000000004,-81.343,107.488,-103.912,88.111,-71.419,35.73,0
2004,To Ramona,Bob Dylan,SOIRSYD12AB017DF79,AR5FP401187FB523C9,4,0.309,-12.404000000000002,90.353,0.733,7,0.424,0.315097126,0.01,0.0,53.735,-92.52799999999999,322.30400000000003,-110.837,151.12,-160.634,146.129,-67.836,125.959,-76.822,82.02799999999999,-87.20200000000001,55.145,-92.551,106.792,-71.634,55.058,-58.06399999999999,59.049,-64.21,34.28,-48.191,80.32600000000001,0
2005,Fastlane,Lindsay Lohan,SOYDDHN12A8C139786,ARUBDKR1187FB3FC29,4,1.0,-5.587999999999999,140.003,0.419,6,0.161,0.801240051,0.003,0.0,57.148999999999994,-80.745,171.13,-136.417,139.218,-256.845,312.756,-64.377,98.96600000000001,-101.03399999999999,265.759,-104.931,75.059,-73.872,108.66,-60.178999999999995,41.538999999999994,-88.911,81.518,-148.037,51.085,-58.821000000000005,35.562,0
2007,Not Every Man Lives,Jason Aldean,SOLWEKA12A8C145D56,ARH6BN71187B990C51,4,0.584,-6.492999999999999,78.99,0.46399999999999997,6,0.07,0.641689052,0.003,0.001,56.795,-187.042,171.11599999999999,-81.99799999999999,154.035,-125.456,100.15,-58.236999999999995,97.18700000000001,-88.666,139.291,-88.426,102.79,-80.94800000000001,134.975,-68.265,58.547,-47.699,85.34299999999999,-56.906000000000006,75.167,-50.012,53.88,0
2010,Canadian Ten,Butch Walker,SOGJJQP12AF72A47D0,AR7NQDM1187FB3BEAA,3,0.93,-8.419,70.179,0.215,4,0.769,0.444829472,0.008,0.28800000000000003,56.843,-191.797,409.296,-125.096,167.96900000000002,-207.082,345.841,-68.084,147.634,-73.979,93.02799999999999,-61.742,86.875,-113.055,123.02600000000001,-69.46600000000001,58.806000000000004,-106.49600000000001,107.306,-85.882,59.408,-40.89,59.93600000000001,0
2001,Can't Get Back To The Baseline,Ocean Colour Scene,SOTNIOM12A67020CB1,ARQNR1G1187B9AE88F,4,0.976,-4.89,89.367,0.784,1,0.348,0.88564319,0.003,0.0,58.218999999999994,-93.617,237.54,-109.46,309.41200000000003,-118.889,201.71,-97.57,79.282,-61.251000000000005,114.931,-56.42,175.99200000000002,-60.162,62.042,-108.796,36.773,-43.582,49.786,-93.911,29.194000000000003,-45.129,56.37,0
1993,One Hundred Years,The Cure,SOVZPHX12A6701C4F9,ARWA6NT1187FB3F15C,4,1.0,-13.45,132.509,0.039,0,0.718,0.703525781,0.035,0.109,49.928999999999995,-72.008,168.87099999999998,-78.39,133.439,-78.873,96.101,-68.508,54.63,-89.771,33.185,-38.544000000000004,111.66,-50.133,86.18,-53.972,37.686,-30.179000000000002,35.629,-63.507,21.697,-42.882,47.887,0
1999,Brown Eyed Handsome Man,Paul McCartney,SOVXEFA1315CD4743C,AR9ZLJJ1187FB5BC16,4,0.11900000000000001,-6.281000000000001,88.11200000000001,1.0,2,0.41100000000000003,0.912557253,0.028999999999999998,0.557,55.845,-57.276,160.43200000000002,-104.37899999999999,121.35,-77.63600000000001,389.213,-59.266000000000005,50.744,-69.73899999999999,131.711,-53.571000000000005,76.018,-49.515,94.476,-37.225,30.629,-37.509,60.698,-93.29299999999999,96.339,-48.516999999999996,38.945,0
2002,This Is How It Goes,Aimee Mann,SOMFDXF13134395FF0,ARR5XTD1187FB3C6BE,4,0.97,-11.629000000000001,85.588,0.682,1,0.502,0.330734845,0.002,0.133,55.356,-218.658,226.81400000000002,-175.262,144.67600000000002,-215.96400000000003,97.615,-80.156,139.939,-83.429,152.283,-95.206,97.501,-105.01299999999999,120.97200000000001,-69.387,78.679,-73.332,77.26,-81.366,44.792,-47.706,49.141000000000005,0
1995,Electra Made Me Blind,Everclear,SOAKYLN1316771605D,ARTH2D01187B98D865,4,0.995,-6.066,108.917,0.826,2,0.45,0.9920793290000001,0.087,0.0,55.443999999999996,-48.688,176.638,-0.9,158.717,-54.622,91.346,-40.844,57.636,-74.265,34.815,-35.562,67.405,-49.227,38.659,-38.04,42.055,-31.541999999999998,25.325,-38.195,34.394,-43.25899999999999,33.760999999999996,0
1994,Rock 'N' Roll Lifestyle,Cake,SOHJXBQ12A8C135417,ARQRQRA12131B4B5A8,4,0.998,-10.450999999999999,117.374,0.8809999999999999,0,0.46,0.455268236,0.008,0.0,54.369,-101.52799999999999,366.566,-140.213,139.645,-223.35299999999998,222.386,-80.733,161.016,-95.40299999999999,216.148,-104.12700000000001,59.138000000000005,-135.53799999999998,151.65200000000002,-74.306,45.96,-84.536,149.36,-144.472,42.071000000000005,-46.758,50.946999999999996,0
